# d, ho, so
1e-05,272.674,191.465
0.001,272.797,153.175
0.002,272.922,147.41
0.003,273.046,144.036
0.004,273.171,141.641
0.005,273.295,139.783
0.006,273.42,138.265
0.007,273.544,136.98
0.008,273.668,135.867
0.009,273.793,134.885
0.01,273.917,134.007
0.02,275.159,128.216
0.03,276.398,124.817
0.04,277.635,122.397
0.05,278.87,120.514
0.06,280.103,118.97
0.07,281.333,117.66
0.08,282.561,116.521
0.09,283.787,115.513
0.1,285.011,114.609
0.11,286.232,113.788
0.12,287.451,113.035
0.13,288.668,112.341
0.14,289.882,111.696
0.15,291.095,111.093
0.16,292.304,110.527
0.17,293.512,109.994
0.18,294.717,109.489
0.19,295.92,109.01
0.2,297.121,108.554
0.21,298.32,108.119
0.22,299.516,107.702
0.23,300.71,107.303
0.24,301.902,106.919
0.25,303.091,106.549
0.26,304.278,106.193
0.27,305.463,105.849
0.28,306.646,105.516
0.29,307.826,105.193
0.3,309.004,104.881
0.31,310.18,104.577
0.32,311.353,104.282
0.33,312.524,103.995
0.34,313.693,103.716
0.35,314.86,103.444
